Sending 300 requests to http://localhost:8000 (model=llama3)...
  [152/300] HTTP 500: Internal Server Error
  [153/300] HTTP 500: Internal Server Error
  [154/300] HTTP 500: Internal Server Error
  [155/300] HTTP 500: Internal Server Error
  [156/300] HTTP 500: Internal Server Error
  [157/300] HTTP 500: Internal Server Error
  [158/300] HTTP 500: Internal Server Error
  [159/300] HTTP 500: Internal Server Error
  [160/300] HTTP 500: Internal Server Error
  [161/300] HTTP 500: Internal Server Error
  [162/300] HTTP 500: Internal Server Error
  [163/300] HTTP 500: Internal Server Error
  [164/300] HTTP 500: Internal Server Error
  [165/300] HTTP 500: Internal Server Error
  [166/300] HTTP 500: Internal Server Error
  [167/300] HTTP 500: Internal Server Error
  [168/300] HTTP 500: Internal Server Error
  [169/300] HTTP 500: Internal Server Error
  [170/300] HTTP 500: Internal Server Error
  [171/300] HTTP 500: Internal Server Error
  [172/300] HTTP 500: Internal Server Error
  [173/300] HTTP 500: Internal Server Error
  [174/300] HTTP 500: Internal Server Error
  [175/300] HTTP 500: Internal Server Error
  [176/300] HTTP 500: Internal Server Error
  [177/300] HTTP 500: Internal Server Error
  [178/300] HTTP 500: Internal Server Error
  [179/300] HTTP 500: Internal Server Error
  [180/300] HTTP 500: Internal Server Error
  [181/300] HTTP 500: Internal Server Error
  [182/300] HTTP 500: Internal Server Error
  [183/300] HTTP 500: Internal Server Error
  [184/300] HTTP 500: Internal Server Error
  [185/300] HTTP 500: Internal Server Error
  [186/300] HTTP 500: Internal Server Error
  [187/300] HTTP 500: Internal Server Error
  [188/300] HTTP 500: Internal Server Error
  [189/300] HTTP 500: Internal Server Error
  [190/300] HTTP 500: Internal Server Error
  [191/300] HTTP 500: Internal Server Error
  [192/300] HTTP 500: Internal Server Error
  [193/300] HTTP 500: Internal Server Error
  [194/300] HTTP 500: Internal Server Error
  [195/300] HTTP 500: Internal Server Error
  [196/300] HTTP 500: Internal Server Error
  [197/300] HTTP 500: Internal Server Error
  [198/300] HTTP 500: Internal Server Error
  [199/300] HTTP 500: Internal Server Error
  [200/300] HTTP 500: Internal Server Error
  [201/300] HTTP 500: Internal Server Error
  [202/300] HTTP 500: Internal Server Error
  [203/300] HTTP 500: Internal Server Error
  [204/300] HTTP 500: Internal Server Error
  [205/300] HTTP 500: Internal Server Error
  [206/300] HTTP 500: Internal Server Error
  [207/300] HTTP 500: Internal Server Error
  [208/300] HTTP 500: Internal Server Error
  [209/300] HTTP 500: Internal Server Error
  [210/300] HTTP 500: Internal Server Error
  [211/300] HTTP 500: Internal Server Error
  [212/300] HTTP 500: Internal Server Error
  [213/300] HTTP 500: Internal Server Error
  [214/300] HTTP 500: Internal Server Error
  [215/300] HTTP 500: Internal Server Error
  [216/300] HTTP 500: Internal Server Error
  [217/300] HTTP 500: Internal Server Error
  [218/300] HTTP 500: Internal Server Error
  [219/300] HTTP 500: Internal Server Error
  [220/300] HTTP 500: Internal Server Error
  [221/300] HTTP 500: Internal Server Error
  [222/300] HTTP 500: Internal Server Error
  [223/300] HTTP 500: Internal Server Error
  [224/300] HTTP 500: Internal Server Error
  [225/300] HTTP 500: Internal Server Error
  [226/300] HTTP 500: Internal Server Error
  [227/300] HTTP 500: Internal Server Error
  [228/300] HTTP 500: Internal Server Error
  [229/300] HTTP 500: Internal Server Error
  [230/300] HTTP 500: Internal Server Error
  [231/300] HTTP 500: Internal Server Error
  [232/300] HTTP 500: Internal Server Error
  [233/300] HTTP 500: Internal Server Error
  [234/300] HTTP 500: Internal Server Error
  [235/300] HTTP 500: Internal Server Error
  [236/300] HTTP 500: Internal Server Error
  [237/300] HTTP 500: Internal Server Error
  [238/300] HTTP 500: Internal Server Error
  [239/300] HTTP 500: Internal Server Error
  [240/300] HTTP 500: Internal Server Error
  [241/300] HTTP 500: Internal Server Error
  [242/300] HTTP 500: Internal Server Error
  [243/300] HTTP 500: Internal Server Error
  [244/300] HTTP 500: Internal Server Error
  [245/300] HTTP 500: Internal Server Error
  [246/300] HTTP 500: Internal Server Error
  [247/300] HTTP 500: Internal Server Error
  [248/300] HTTP 500: Internal Server Error
  [249/300] HTTP 500: Internal Server Error
  [250/300] HTTP 500: Internal Server Error
  [251/300] HTTP 500: Internal Server Error
  [252/300] HTTP 500: Internal Server Error
  [253/300] HTTP 500: Internal Server Error
  [254/300] HTTP 500: Internal Server Error
  [255/300] HTTP 500: Internal Server Error
  [256/300] HTTP 500: Internal Server Error
  [257/300] HTTP 500: Internal Server Error
  [258/300] HTTP 500: Internal Server Error
  [259/300] HTTP 500: Internal Server Error
  [260/300] HTTP 500: Internal Server Error
  [261/300] HTTP 500: Internal Server Error
  [262/300] HTTP 500: Internal Server Error
  [263/300] HTTP 500: Internal Server Error
  [264/300] HTTP 500: Internal Server Error
  [265/300] HTTP 500: Internal Server Error
  [266/300] HTTP 500: Internal Server Error
  [267/300] HTTP 500: Internal Server Error
  [268/300] HTTP 500: Internal Server Error
  [269/300] HTTP 500: Internal Server Error
  [270/300] HTTP 500: Internal Server Error
  [271/300] HTTP 500: Internal Server Error
  [272/300] HTTP 500: Internal Server Error
  [273/300] HTTP 500: Internal Server Error
  [274/300] HTTP 500: Internal Server Error
  [275/300] HTTP 500: Internal Server Error
  [276/300] HTTP 500: Internal Server Error
  [277/300] HTTP 500: Internal Server Error
  [278/300] HTTP 500: Internal Server Error
  [279/300] HTTP 500: Internal Server Error
  [280/300] HTTP 500: Internal Server Error
  [281/300] HTTP 500: Internal Server Error
  [282/300] HTTP 500: Internal Server Error
  [283/300] HTTP 500: Internal Server Error
  [284/300] HTTP 500: Internal Server Error
  [285/300] HTTP 500: Internal Server Error
  [286/300] HTTP 500: Internal Server Error
  [287/300] HTTP 500: Internal Server Error
  [288/300] HTTP 500: Internal Server Error
  [289/300] HTTP 500: Internal Server Error
  [290/300] HTTP 500: Internal Server Error
  [291/300] HTTP 500: Internal Server Error
  [292/300] HTTP 500: Internal Server Error
  [293/300] HTTP 500: Internal Server Error
  [294/300] HTTP 500: Internal Server Error
  [295/300] HTTP 500: Internal Server Error
  [296/300] HTTP 500: Internal Server Error
  [297/300] HTTP 500: Internal Server Error
  [298/300] HTTP 500: Internal Server Error
  [299/300] HTTP 500: Internal Server Error
  [300/300] HTTP 500: Internal Server Error

WARNING: 300 requests failed and are excluded below.

============================================================
CACHE HIT/MISS DECISION QUALITY
============================================================
  requests analyzed : 0
  precision         : nan%  (of cache hits, how many were actually the same question)
  recall            : nan%  (of repeat questions, how many the cache actually caught)
  f1                : nan%
  confusion matrix  : TP=0 FP=0 FN=0 TN=0

============================================================
LATENCY
============================================================
  avg cache-miss (real inference) : nan ms
  p95 cache-miss                  : nan ms
  avg cache-hit                   : nan ms

============================================================
COST (estimated, via the gateway's reference pricing table)
============================================================
  cost incurred (with cache)      : $0.00000
  cost without cache (estimated)  : $0.00000

Full results written to sweep_results/result_t0.92_s3.json
